anul,locul_finalei,echipe_id
1992,Londra,12
1993,Munich,9
1994,Atena,3
1995,Viena,10
1996,Roma,1
1997,Munich,8
1998,Amsterdam,13
1999,Barcelona,6
2000,Paris,13
2001,Milano,7
2002,Glasgow,13
2003,Manchester,3
2004,Gelsenkirchen,11
2005,Istanbul,5
2006,Paris,12
2007,Atena,3
2008,Moscova,6
2009,Roma,12
2010,Madrid,2
2011,Londra,12
2012,Munich,4
2013,Londra,7
2014,Lisabona,13
2015,Berlin,12
2016,Milano,13
2017,Cardiff,13
2018,Kiev,13
2019,Madrid,5
2020,Lisabona,7
2021,Porto,4

